uid;Shape_Leng;from;to;y_start;x_start;y_end;x_end
2098;112.5417047;'36.3617749398645,59.4847907927012';'36.3621456472689,59.4859570982076';36.36177494;59.48479079;36.36214565;59.4859571
2099;167.8319683;'36.3601000367871,59.4808238904912';'36.3608681828651,59.4824342637533';36.36002526;59.48096607;36.36080969;59.48248186
2100;321.2062703;'36.3475728169582,59.5824823493862';'36.3490273784204,59.579393416491';36.34757282;59.58248235;36.34902738;59.57939342
2101;351.4476545;'36.2513038138372,59.6126505253641';'36.2532586016188,59.6157258711081';36.25130381;59.61265053;36.2532586;59.61572587
2102;150.0807457;'36.2590702804551,59.642695810612';'36.2593507107142,59.6443280596363';36.25907028;59.64269581;36.25935071;59.64432806
2103;542.8240408;'36.2593507107142,59.6443280596363';'36.2616059208286,59.649633994322';36.25935071;59.64432806;36.26160592;59.64963399
2104;148.284802;'36.2616059208286,59.649633994322';'36.2625222954629,59.6508329645445';36.26160592;59.64963399;36.2625223;59.65083296
2105;135.2149832;'36.2532586016188,59.6157258711081';'36.2540055438718,59.6169138865201';36.2532586;59.61572587;36.25400554;59.61691389
2106;249.8652782;'36.2580557743994,59.62654766208';'36.2582231978947,59.6293194966433';36.25805577;59.62654766;36.2582232;59.6293195
2107;63.93123678;'36.2625222954629,59.6508329645445';'36.2629511515368,59.6513075861762';36.2625223;59.65083296;36.26295115;59.65130759
2108;453.6026982;'36.2895006337929,59.6596693415422';'36.2934770715492,59.6608333302921';36.28950063;59.65966934;36.29347707;59.66083333
2109;101.1036011;'36.2988119806172,59.6631936345634';'36.2995411677019,59.663867961748';36.29881198;59.66319363;36.29954117;59.66386796
2110;74.12321688;'36.3089688856207,59.658046095727';'36.3093653029128,59.6573821205667';36.30896889;59.6580461;36.3093653;59.65738212
2111;230.8550659;'36.3108325015221,59.6549245410081';'36.3120670720638,59.6528564827276';36.3108325;59.65492454;36.31206707;59.65285648
2112;356.0812901;'36.3145178113903,59.6487395117919';'36.3163442818004,59.6454810794836';36.31451781;59.64873951;36.31634428;59.64548108
2113;121.5278325;'36.3237756790535,59.631506354084';'36.3244302967377,59.6304232210471';36.32377568;59.63150635;36.3244303;59.63042322
2114;116.1417757;'36.3298633936752,59.6192812944767';'36.3304147940296,59.6181822503442';36.32986339;59.61928129;36.33041479;59.61818225
2115;1263.166634;'36.3334393076563,59.6121532023848';'36.3392610840604,59.6000713633931';36.33343931;59.6121532;36.33926108;59.60007136
2117;167.5187579;'36.3503483246327,59.4669204424931';'36.3517287051288,59.4669651503876';36.35034832;59.46692044;36.35172871;59.46696515
3000;277.456928;'36.3847573104171,59.5190986210068';'36.3825008722751,59.5182929192714';36.38475731;59.51909862;36.38250087;59.51829292
3001;252.4477069;'36.3795804362925,59.5131253447373';'36.378618039053,59.510578768413';36.37958044;59.51312534;36.37861804;59.51057877
